"fips","0-4","5-24","25-49","50-64","65+"
1,3292,13222,23406,9535,6898
3,1134,4152,3997,2234,1803
5,6223,23990,27426,14327,10768
7,1314,6019,6481,5964,5454
9,481,2719,2863,1765,1308
11,141,601,572,426,443
13,3231,14015,13760,7469,4599
15,1795,7675,8275,5458,3892
17,599,1935,1730,1053,953
19,958,5103,5790,4912,3482
21,4991,20762,26174,13346,7047
23,226,1013,943,865,1000
25,2072,9484,13504,4434,3598
27,26451,78353,110885,36109,23083
29,127590,474488,566005,248087,163244
31,539,2341,2769,2243,1515
33,29,164,197,143,167
35,1096,4738,5076,3742,3712
37,6012,23843,33056,17407,12962
39,21947,85887,108804,50208,26469
41,11354,70965,55964,19401,11579
43,604,2691,2705,1847,1410
45,101,440,384,302,349
47,676,2460,2123,1313,1133
49,2622,10841,11389,7213,6607
51,1258,4965,5260,3642,3018
53,2509,10684,12508,8987,7784
55,2673,10440,12713,5780,4150
57,1578,6115,6524,3688,2998
59,784,3745,3898,2785,2542
61,42291,130566,121861,52640,43854
63,885,3617,3812,2314,2162
65,385,1794,1838,1324,1090
67,1757,7944,8625,6373,5830
69,681,2475,2106,1285,999
71,1964,10127,11493,6237,3117
73,3468,13887,15634,8643,7220
75,468,2249,2660,1169,1159
77,504,2928,3309,2414,1941
79,303,1075,967,540,613
81,201,953,960,716,986
83,563,2210,2273,1704,1934
85,51088,210367,307790,117532,44573
87,179,834,804,550,649
89,1491,5803,6240,4155,4002
91,6280,28244,33800,22697,15059
93,915,3821,3871,2696,2865
95,123,588,1744,699,590
97,2637,11428,12093,7641,6264
99,4442,24831,34435,8211,4575
101,94,419,400,303,424
103,282,1216,1130,739,546
105,288,1207,1139,885,668
107,514,2027,1791,1087,1042
109,179,794,730,451,406
111,494,1984,2057,1012,707
113,204922,681366,957918,336157,184490
115,1068,4026,4611,2352,1957
117,1819,6308,5466,2856,2230
119,291,1414,1609,1073,957
121,45562,165952,281850,89007,32648
123,1315,5123,6453,3725,3702
125,123,681,846,460,561
127,811,3308,2798,1705,1290
129,212,984,1066,801,911
