"fips","county name","HSR"
1,Anderson,HSR 4/5N
3,Andrews,HSR 9/10
5,Angelina,HSR 4/5N
7,Aransas,HSR 11
9,Archer,HSR 2/3
11,Armstrong,HSR 1
13,Atascosa,HSR 8
15,Austin,HSR 6/5S
17,Bailey,HSR 1
19,Bandera,HSR 8
21,Bastrop,HSR 7
23,Baylor,HSR 2/3
25,Bee,HSR 11
27,Bell,HSR 7
29,Bexar,HSR 8
31,Blanco,HSR 7
33,Borden,HSR 9/10
35,Bosque,HSR 7
37,Bowie,HSR 4/5N
39,Brazoria,HSR 6/5S
41,Brazos,HSR 7
43,Brewster,HSR 9/10
45,Briscoe,HSR 1
47,Brooks,HSR 11
49,Brown,HSR 2/3
51,Burleson,HSR 7
53,Burnet,HSR 7
55,Caldwell,HSR 7
57,Calhoun,HSR 8
59,Callahan,HSR 2/3
61,Cameron,HSR 11
63,Camp,HSR 4/5N
65,Carson,HSR 1
67,Cass,HSR 4/5N
69,Castro,HSR 1
71,Chambers,HSR 6/5S
73,Cherokee,HSR 4/5N
75,Childress,HSR 1
77,Clay,HSR 2/3
79,Cochran,HSR 1
81,Coke,HSR 9/10
83,Coleman,HSR 2/3
85,Collin,HSR 2/3
87,Collingsworth,HSR 1
89,Colorado,HSR 6/5S
91,Comal,HSR 8
93,Comanche,HSR 2/3
95,Concho,HSR 9/10
97,Cooke,HSR 2/3
99,Coryell,HSR 7
101,Cottle,HSR 2/3
103,Crane,HSR 9/10
105,Crockett,HSR 9/10
107,Crosby,HSR 1
109,Culberson,HSR 9/10
111,Dallam,HSR 1
113,Dallas,HSR 2/3
115,Dawson,HSR 9/10
117,Deaf Smith,HSR 1
119,Delta,HSR 4/5N
121,Denton,HSR 2/3
123,DeWitt,HSR 8
125,Dickens,HSR 1
127,Dimmit,HSR 8
129,Donley,HSR 1
131,Duval,HSR 11
133,Eastland,HSR 2/3
135,Ector,HSR 9/10
137,Edwards,HSR 8
139,Ellis,HSR 2/3
141,El Paso,HSR 9/10
143,Erath,HSR 2/3
145,Falls,HSR 7
147,Fannin,HSR 2/3
149,Fayette,HSR 7
151,Fisher,HSR 2/3
153,Floyd,HSR 1
155,Foard,HSR 2/3
157,Fort Bend,HSR 6/5S
159,Franklin,HSR 4/5N
161,Freestone,HSR 7
163,Frio,HSR 8
165,Gaines,HSR 9/10
167,Galveston,HSR 6/5S
169,Garza,HSR 1
171,Gillespie,HSR 8
173,Glasscock,HSR 9/10
175,Goliad,HSR 8
177,Gonzales,HSR 8
179,Gray,HSR 1
181,Grayson,HSR 2/3
183,Gregg,HSR 4/5N
185,Grimes,HSR 7
187,Guadalupe,HSR 8
189,Hale,HSR 1
191,Hall,HSR 1
193,Hamilton,HSR 7
195,Hansford,HSR 1
197,Hardeman,HSR 2/3
199,Hardin,HSR 6/5S
201,Harris,HSR 6/5S
203,Harrison,HSR 4/5N
205,Hartley,HSR 1
207,Haskell,HSR 2/3
209,Hays,HSR 7
211,Hemphill,HSR 1
213,Henderson,HSR 4/5N
215,Hidalgo,HSR 11
217,Hill,HSR 7
219,Hockley,HSR 1
221,Hood,HSR 2/3
