county,fips,"low risk 0-4","low risk 5-24","low risk 25-49","low risk 50-64","low risk 65+","high risk 0-4","high risk 5-24","high risk 25-49","high risk 50-64","high risk 65+","first responder 0-4","first responder 5-24","first responder 25-49","first responder 50-64","first responder 65+","pregnant 0-4","pregnant 5-24","pregnant 25-49","pregnant 50-64","pregnant 65+"
Anderson,1,2883,11128,18072,7469,3451,252,1576,4638,3798,3887,0,0,530,0,0,0,331,443,0,0
Andrews,3,1127,3842,3654,1698,782,99,513,870,863,881,0,0,144,0,0,0,145,168,0,0
Angelina,5,5983,21068,20701,10535,5570,523,2910,5044,5356,6273,0,0,1176,0,0,0,700,932,0,0
Aransas,7,1094,4150,4510,3712,2635,96,546,1056,1887,2967,0,0,129,0,0,0,165,211,0,0
Archer,9,434,2048,2089,1320,681,38,305,532,671,766,0,0,67,0,0,0,46,57,0,0
Armstrong,11,98,355,373,307,185,9,49,92,156,209,0,0,36,0,0,0,12,20,0,0
Atascosa,13,3069,11443,10667,5647,2686,268,1586,2512,2871,3025,0,0,283,0,0,0,375,479,0,0
Austin,15,1701,6297,6571,4105,2081,149,878,1535,2087,2343,0,0,164,0,0,0,201,305,0,0
Bailey,17,627,1869,1628,764,475,55,258,383,388,534,0,0,47,0,0,0,62,75,0,0
Bandera,19,849,3604,4216,3768,1935,74,525,1030,1915,2179,0,0,138,0,0,0,93,159,0,0
Bastrop,21,4611,17228,19069,10420,3998,403,2499,4588,5298,4503,0,0,378,0,0,0,452,724,0,0
Baylor,23,210,674,731,518,440,18,91,185,264,495,0,0,48,0,0,0,24,28,0,0
Bee,25,1781,7351,9491,3661,1616,156,1041,2397,1862,1820,0,0,213,0,0,0,218,254,0,0
Bell,27,26085,84380,83143,29736,12701,2280,10709,18697,15118,14302,0,0,4182,0,0,0,3747,5155,0,0
Bexar,29,119631,447817,451765,186779,82728,10456,61204,105391,94962,93155,0,0,21490,0,0,0,15518,23877,0,0
Blanco,31,507,2014,2224,1834,899,44,293,543,932,1012,0,0,62,0,0,0,52,81,0,0
Borden,33,26,130,134,93,63,2,19,35,47,70,0,0,14,0,0,0,3,5,0,0
Bosque,35,934,3695,3774,2688,1808,82,526,909,1366,2036,0,0,130,0,0,0,107,157,0,0
Bowie,37,5445,20976,23095,11721,6163,476,2953,5857,5959,6940,0,0,1483,0,0,0,641,856,0,0
Brazoria,39,22740,74994,87942,37072,14074,1988,10525,20306,18848,15849,0,0,2191,0,0,0,2323,4314,0,0
Brazos,41,11501,74648,43494,15019,6613,1005,10854,10126,7636,7446,0,0,2215,0,0,0,1935,2359,0,0
Brewster,43,498,1888,2136,1395,720,44,248,511,709,811,0,0,98,0,0,0,75,99,0,0
Briscoe,45,95,308,337,234,168,8,19,72,119,190,0,0,26,0,0,0,34,27,0,0
Brooks,47,569,1783,1456,924,577,50,212,331,470,649,0,0,33,0,0,0,93,76,0,0
Brown,49,2178,8717,8460,5081,3106,190,1256,2102,2583,3498,0,0,384,0,0,0,237,314,0,0
Burleson,51,988,3627,3845,2547,1414,86,498,934,1295,1593,0,0,95,0,0,0,123,142,0,0
Burnet,53,2297,8928,9309,6258,3737,201,1269,2269,3182,4208,0,0,438,0,0,0,260,394,0,0
Caldwell,55,2404,10122,9328,4604,2121,210,1423,2219,2341,2389,0,0,208,0,0,0,311,386,0,0
Calhoun,57,1403,5081,4900,2756,1521,123,686,1196,1401,1713,0,0,215,0,0,0,185,201,0,0
Callahan,59,716,2870,3035,1969,1159,63,422,753,1001,1306,0,0,82,0,0,0,70,98,0,0
Cameron,61,32972,118095,96674,39710,21115,2882,15981,21386,20189,23776,0,0,3274,0,0,0,4251,5915,0,0
Camp,63,827,2951,2743,1619,937,72,397,630,823,1056,0,0,93,0,0,0,108,145,0,0
Carson,65,334,1354,1365,907,499,29,200,340,461,562,0,0,52,0,0,0,32,47,0,0
Cass,67,1637,6354,6730,4342,2735,143,880,1638,2208,3080,0,0,242,0,0,0,209,266,0,0
Castro,69,643,2125,1812,936,507,56,286,428,476,570,0,0,61,0,0,0,78,84,0,0
Chambers,71,2242,8836,9298,4526,1549,196,1209,2164,2301,1745,0,0,274,0,0,0,305,451,0,0
Cherokee,73,3335,12210,11764,6462,3578,292,1670,2802,3285,4030,0,0,458,0,0,0,422,537,0,0
Childress,75,390,1605,1934,742,501,34,223,496,377,564,0,0,71,0,0,0,52,52,0,0
