county,fips,weight
Anderson,1,1
Andrews,3,1
Angelina,5,1
Aransas,7,1
Archer,9,1
Armstrong,11,1
Atascosa,13,1
Austin,15,1
Bailey,17,1
Bandera,19,1
Bastrop,21,1
Baylor,23,1
Bee,25,1
Bell,27,1
Bexar,29,1
Blanco,31,1
Borden,33,1
Bosque,35,1
Bowie,37,1
Brazoria,39,1
Brazos,41,1
Brewster,43,1
Briscoe,45,1
Brooks,47,1
Brown,49,1
Burleson,51,1
Burnet,53,1
Caldwell,55,1
Calhoun,57,1
Callahan,59,1
Cameron,61,1
Camp,63,1
Carson,65,1
Cass,67,1
Castro,69,1
Chambers,71,1
Cherokee,73,1
Childress,75,1
Clay,77,1
Cochran,79,1
Coke,81,1
Coleman,83,1
Collin,85,1
Collingsworth,87,1
Colorado,89,1
Comal,91,1
Comanche,93,1
Concho,95,1
Cooke,97,1
Coryell,99,1
Cottle,101,1
Crane,103,1
Crockett,105,1
Crosby,107,1
Culberson,109,1
Dallam,111,1
Dallas,113,1
Dawson,115,1
Deaf Smith,117,1
Delta,119,1
Denton,121,1
Dewitt,123,1
Dickens,125,1
Dimmit,127,1
Donley,129,1
Duval,131,1
Eastland,133,1
Ector,135,1
Edwards,137,1
Ellis,139,1
El Paso,141,1
Erath,143,1
Falls,145,1
Fannin,147,1
Fayette,149,1
Fisher,151,1
Floyd,153,1
Foard,155,1
Fort Bend,157,1
Franklin,159,1
Freestone,161,1
Frio,163,1
Gaines,165,1
Galveston,167,1
Garza,169,1
Gillespie,171,1
Glasscock,173,1
Goliad,175,1
Gonzales,177,1
Gray,179,1
Grayson,181,1
Gregg,183,1
Grimes,185,1
Guadalupe,187,1
Hale,189,1
Hall,191,1
Hamilton,193,1
Hansford,195,1
Hardeman,197,1
Hardin,199,1
Harris,201,1
Harrison,203,1
Hartley,205,1
Haskell,207,1
Hays,209,1
Hemphill,211,1
Henderson,213,1
Hidalgo,215,1
Hill,217,1
Hockley,219,1
Hood,221,1
Hopkins,223,1
Houston,225,1
Howard,227,1
Hudspeth,229,1
Hunt,231,1
Hutchinson,233,1
Irion,235,1
Jack,237,1
Jackson,239,1
Jasper,241,1
Jeff Davis,243,1
Jefferson,245,1
Jim Hogg,247,1
Jim Wells,249,1
Johnson,251,1
Jones,253,1
Karnes,255,1
Kaufman,257,1
Kendall,259,1
Kenedy,261,1
Kent,263,1
Kerr,265,1
Kimble,267,1
King,269,1
Kinney,271,1
Kleberg,273,1
Knox,275,1
Lamar,277,1
Lamb,279,1
Lampasas,281,1
La Salle,283,1
Lavaca,285,1
Lee,287,1
Leon,289,1
Liberty,291,1
Limestone,293,1
Lipscomb,295,1
Live Oak,297,1
Llano,299,1
Loving,301,1
Lubbock,303,1
Lynn,305,1
Madison,313,1
Marion,315,1
Martin,317,1
Mason,319,1
Matagorda,321,1
Maverick,323,1
McCulloch,307,1
McLennan,309,1
McMullen,311,1
Medina,325,1
Menard,327,1
Midland,329,1
Milam,331,1
Mills,333,1
Mitchell,335,1
Montague,337,1
Montgomery,339,1
Moore,341,1
Morris,343,1
Motley,345,1
Nacogdoches,347,1
Navarro,349,1
Newton,351,1
Nolan,353,1
Nueces,355,1
Ochiltree,357,1
Oldham,359,1
Orange,361,1
Palo Pinto,363,1
Panola,365,1
Parker,367,1
Parmer,369,1
Pecos,371,1
Polk,373,1
Potter,375,1
Presidio,377,1
Rains,379,1
Randall,381,1
Reagan,383,1
Real,385,1
Red River,387,1
Reeves,389,1
Refugio,391,1
Roberts,393,1
Robertson,395,1
Rockwall,397,1
Runnels,399,1
Rusk,401,1
Sabine,403,1
San Augustine,405,1
San Jacinto,407,1
San Patricio,409,1
San Saba,411,1
Schleicher,413,1
Scurry,415,1
Shackelford,417,1
Shelby,419,1
Sherman,421,1
Smith,423,1
Somervell,425,1
Starr,427,1
Stephens,429,1
Sterling,431,1
Stonewall,433,1
Sutton,435,1
Swisher,437,1
Tarrant,439,1
Taylor,441,1
Terrell,443,1
Terry,445,1
Throckmorton,447,1
Titus,449,1
Tom Green,451,1
Travis,453,1
Trinity,455,1
Tyler,457,1
Upshur,459,1
Upton,461,1
Uvalde,463,1
Val Verde,465,1
Van Zandt,467,1
Victoria,469,1
Walker,471,1
Waller,473,1
Ward,475,1
Washington,477,1
Webb,479,1
Wharton,481,1
Wheeler,483,1
Wichita,485,1
Wilbarger,487,1
Willacy,489,1
Williamson,491,1
Wilson,493,1
Winkler,495,1
Wise,497,1
Wood,499,1
Yoakum,501,1
Young,503,1
Zapata,505,1
Zavala,507,1
